word,canonical
estuvieras,estar
estuvieses,estar
estuviéramos,estar
estuviésemos,estar
estuvierais,estar
estuvieseis,estar
estuvieran,estar
estuviesen,estar
estuviere,estar
estuvieres,estar
estuviéremos,estar
estuviereis,estar
estuvieren,estar
estáte,estar
estad,estar
hacer,hacer
haciendo,hacer
hecho,hacer
hago,hacer
haces,hacer
hace,hacer
hacemos,hacer
hacéis,hacer
hacen,hacer
hacía,hacer
hacías,hacer
hacíamos,hacer
hacíais,hacer
hacían,hacer
hice,hacer
hiciste,hacer
hizo,hacer
hicimos,hacer
hicisteis,hacer
hicieron,hacer
haré,hacer
harás,hacer
hará,hacer
haremos,hacer
haréis,hacer
harán,hacer
haría,hacer
harías,hacer
haríamos,hacer
haríais,hacer
harían,hacer
haga,hacer
hagas,hacer
hagamos,hacer
hagáis,hacer
hagan,hacer
hiciera,hacer
hiciese,hacer
hicieras,hacer
hicieses,hacer
hiciéramos,hacer
hiciésemos,hacer
hicierais,hacer
hicieseis,hacer
hicieran,hacer
hiciesen,hacer
hiciere,hacer
hicieres,hacer
hiciéremos,hacer
hiciereis,hacer
hicieren,hacer
haz,hacer
haced,hacer
ir,ir
yendo,ir
ido,ir
habiendo,ir
voy,ir
vas,ir
va,ir
vamos,ir
vais,ir
van,ir
iba,ir
ibas,ir
íbamos,ir
ibais,ir
iban,ir
fui,ir
fuiste,ir
fue,ir
fuimos,ir
fuisteis,ir
fueron,ir
iré,ir
irás,ir
irá,ir
iremos,ir
iréis,ir
irán,ir
iría,ir
irías,ir
iríamos,ir
iríais,ir
irían,ir
vaya,ir
vayas,ir
vayamos,ir
vayáis,ir
vayan,ir
vé,ir
id,ir
idos,ir
yacer,yacer
yaciendo,yacer
yacido,yacer
yazco,yacer
yazgo,yacer
yago,yacer
yaces,yacer
yace,yacer
yacemos,yacer
yacéis,yacer
yacen,yacer
yacía,yacer
yacías,yacer
yacíamos,yacer
yacíais,yacer
yacían,yacer
yací,yacer
yaciste,yacer
yació,yacer
yacimos,yacer
yacisteis,yacer
yacieron,yacer
yaceré,yacer
yacerás,yacer
yacerá,yacer
yaceremos,yacer
yaceréis,yacer
yacerán,yacer
yacería,yacer
yacerías,yacer
yaceríamos,yacer
yaceríais,yacer
yacerían,yacer
yazca,yacer
yazga,yacer
yazcas,yacer
yazgas,yacer
yazcamos,yacer
yazgamos,yacer
yazcáis,yacer
yazgáis,yacer
yazcan,yacer
yazgan,yacer
yaciera,yacer
yaciese,yacer
yacieras,yacer
yacieses,yacer
yaciéramos,yacer
yaciésemos,yacer
yacierais,yacer
yacieseis,yacer
yacieran,yacer
yaciesen,yacer
yaciere,yacer
yacieres,yacer
yaciéremos,yacer
yaciereis,yacer
yacieren,yacer
yaz,yacer
yaced,yacer
caber,caber
cabiendo,caber
cabido,caber
quepo,caber
cabes,caber
cabe,caber
cabemos,caber
cabéis,caber
caben,caber
cabía,caber
cabías,caber
cabíamos,caber
cabíais,caber
cabían,caber
cupe,caber
cupiste,caber
cupo,caber
cupimos,caber
cupisteis,caber
cupieron,caber
cabré,caber
cabrás,caber
cabrá,caber
cabremos,caber
cabréis,caber
cabrán,caber
cabría,caber
cabrías,caber
cabríamos,caber
cabríais,caber
cabrían,caber
quepa,caber
quepas,caber
quepamos,caber
quepáis,caber
quepan,caber
cupiera,caber
cupiese,caber
cupieras,caber
cupieses,caber
cupiéramos,caber
cupiésemos,caber
cupierais,caber
cupieseis,caber
cupieran,caber
cupiesen,caber
cupiere,caber
cupieres,caber
cupiéremos,caber
cupiereis,caber
cupieren,caber
cabed,caber
dar,dar
dando,dar
dado,dar
doy,dar
das,dar
da,dar
damos,dar
dais,dar
dan,dar
daba,dar
dabas,dar
dábamos,dar
dabais,dar
daban,dar
di,dar
diste,dar
dio,dar
dimos,dar
disteis,dar
dieron,dar
daré,dar
darás,dar
dará,dar
daremos,dar
daréis,dar
darán,dar
daría,dar
darías,dar
daríamos,dar
daríais,dar
darían,dar
dé,dar
des,dar
demos,dar
deis,dar
den,dar
diera,dar
diese,dar
dieras,dar
dieses,dar
diéramos,dar
diésemos,dar
dierais,dar
dieseis,dar
dieran,dar
diesen,dar
diere,dar
dieres,dar
diéremos,dar
diereis,dar
dieren,dar
dad,dar
decir,decir
diciendo,decir
dicho,decir
digo,decir
dices,decir
dice,decir
decimos,decir
decís,decir
dicen,decir
decía,decir
decías,decir
decíamos,decir
decíais,decir
decían,decir
dije,decir
dijiste,decir
dijo,decir
dijimos,decir
dijisteis,decir
dijeron,decir
diré,decir
dirás,decir
dirá,decir
diremos,decir
diréis,decir
dirán,decir
diría,decir
dirías,decir
diríamos,decir
diríais,decir
dirían,decir
diga,decir
digas,decir
digamos,decir
digáis,decir
digan,decir
dijera,decir
dijese,decir
dijeras,decir
dijeses,decir
dijéramos,decir
dijésemos,decir
dijerais,decir
dijeseis,decir
dijeran,decir
dijesen,decir
dijere,decir
dijeres,decir
dijéremos,decir
dijereis,decir
dijeren,decir
di,decir
decid,decir
poner,poner
poniendo,poner
puesto,poner
pongo,poner
pones,poner
pone,poner
ponemos,poner
ponéis,poner
ponen,poner
ponía,poner
ponías,poner
poníamos,poner
poníais,poner
ponían,poner
puse,poner
pusiste,poner
puso,poner
pusimos,poner
pusisteis,poner
pusieron,poner
pondré,poner
pondrás,poner
pondrá,poner
pondremos,poner
pondréis,poner
pondrán,poner
pondría,poner
pondrías,poner
pondríamos,poner
pondríais,poner
pondrían,poner
ponga,poner
pongas,poner
pongamos,poner
pongáis,poner
pongan,poner
pusiera,poner
pusiese,poner
pusieras,poner
pusieses,poner
pusiéramos,poner
pusiésemos,poner
pusierais,poner
pusieseis,poner
pusieran,poner
pusiesen,poner
pusiere,poner
pusieres,poner
pusiéremos,poner
pusiereis,poner
pusieren,poner
pon,poner
poned,poner
andar,andar
andando,andar
andado,andar
ando,andar
andas,andar
anda,andar
andamos,andar
andáis,andar
andan,andar
andaba,andar
andabas,andar
andábamos,andar
andabais,andar
andaban,andar
anduve,andar
anduviste,andar
anduvo,andar
anduvimos,andar
anduvisteis,andar
anduvieron,andar
andaré,andar
andarás,andar
andará,andar
andaremos,andar
andaréis,andar
andarán,andar
andaría,andar
andarías,andar
andaríamos,andar
andaríais,andar
andarían,andar
ande,andar
andes,andar
andemos,andar
andéis,andar
anden,andar
anduviera,andar
anduviese,andar
anduvieras,andar
anduvieses,andar
anduviéramos,andar
anduviésemos,andar
anduvierais,andar
anduvieseis,andar
anduvieran,andar
anduviesen,andar
anduviere,andar
anduvieres,andar
anduviéremos,andar
anduviereis,andar
anduvieren,andar
andad,andar
tener,tener
teniendo,tener
tenido,tener
tengo,tener
tienes,tener
tiene,tener
tenemos,tener
tenéis,tener
tienen,tener
tenía,tener
tenías,tener
teníamos,tener
teníais,tener
tenían,tener
tuve,tener
tuviste,tener
tuvo,tener
tuvimos,tener
tuvisteis,tener
tuvieron,tener
tendré,tener
tendrás,tener
tendrá,tener
tendremos,tener
tendréis,tener
tendrán,tener
tendría,tener
tendrías,tener
tendríamos,tener
tendríais,tener
tendrían,tener
tenga,tener
tengas,tener
tengamos,tener
tengáis,tener
tengan,tener
tuviera,tener
tuviese,tener
tuvieras,tener
tuvieses,tener
tuviéramos,tener
tuviésemos,tener
tuvierais,tener
tuvieseis,tener
tuvieran,tener
tuviesen,tener
tuviere,tener
tuvieres,tener
tuviéremos,tener
tuviereis,tener
tuvieren,tener
ten,tener
tened,tener
venir,venir
viniendo,venir
venido,venir
vengo,venir
vienes,venir
viene,venir
venimos,venir
venís,venir
vienen,venir
venía,venir
venías,venir
veníamos,venir
veníais,venir
venían,venir
vine,venir
viniste,venir
vino,venir
vinimos,venir
vinisteis,venir
vinieron,venir
vendré,venir
vendrás,venir
vendrá,venir
vendremos,venir
vendréis,venir
vendrán,venir
vendría,venir
vendrías,venir
vendríamos,venir
vendríais,venir
vendrían,venir
venga,venir
vengas,venir
vengamos,venir
vengáis,venir
vengan,venir
viniera,venir
viniese,venir
vinieras,venir
vinieses,venir
viniéramos,venir
viniésemos,venir
vinierais,venir
vinieseis,venir
vinieran,venir
viniesen,venir
viniere,venir
vinieres,venir
viniéremos,venir
viniereis,venir
vinieren,venir
ven,venir
venid,venir
ver,ver
viendo,ver
visto,ver
veo,ver
ves,ver
ve,ver
vemos,ver
veis,ver
ven,ver
veía,ver
veías,ver
veíamos,ver
veíais,ver
veían,ver
vi,ver
viste,ver
vio,ver
vimos,ver
visteis,ver
vieron,ver
veré,ver
verás,ver
verá,ver
veremos,ver
veréis,ver
verán,ver
vería,ver
verías,ver
veríamos,ver
veríais,ver
verían,ver
vea,ver
veas,ver
veamos,ver
veáis,ver
vean,ver
viera,ver
viese,ver
vieras,ver
vieses,ver
viéramos,ver
viésemos,ver
vierais,ver
vieseis,ver
vieran,ver
viesen,ver
viere,ver
vieres,ver
viéremos,ver
viereis,ver
vieren,ver
vé,ver
ved,ver
